Название товара;Артикул Ozon;Артикул продавца;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика суммы заказов, %;Заказано товаров;Самая низкая цена, ₽;Средняя цена покупки, ₽;Упущенные продажи, ₽;Дней без остатка, дни;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Среднее время доставки;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Показы в поиске и каталоге;Посещения карточки товара;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
—;—;—;—;—;—;—;Приносят больше выручки и чаще продаются. А ещё за их поставки можно получить бонусы и скидки. Узнайте, какие Super-товары продают на Ozon сейчас;Общая стоимость заказанных товаров, включая отмены и возвраты. Для расчёта берём цену, которую заплатил покупатель, с учётом скидок продавца и покупателя;Как изменилась суммарная стоимость заказов в сравнении с предыдущим периодом;Общее количество заказанных товаров;Самая низкая цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Средняя цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Сколько выручки мог бы ещё получить продавец, если бы товар был на складе все 28 дней;Считаем сколько дней из последних 28 товар был в наличии;Средняя сумма заказов в сутки (ADS) — делим сумму всех продаж за 28 дней на количество дней, когда товар был в наличии. Не вычитаем возвраты и отмены;Среднее количество заказов в сутки — делим количество всех заказов за 28 дней на количество дней, когда товар был в наличии;Модель сотрудничества с Ozon — зависит от того, с чьего склада продаётся товар (Ozon или продавца) и кто доставляет заказ;Умножаем время доставки между кластерами по всем маршрутам на количество отправленных товаров за 28 дней. Затем суммируем полученные значения и делим на общее количество товаров;Сколько места занимает товар — чем больше объём, тем выше стоимость логистики и размещения товара на складе Ozon;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Сколько раз покупатели посмотрели товар в поисковой выдаче и каталоге;Сколько раз покупатели перешли в карточку товара за последние 28 дней;Отношение количества добавлений товара в корзину к количеству просмотров в каталоге и поиске;Отношение количества просмотров карточки к количеству добавлений товара в корзину после просмотра;Процент расходов на продвижение товаров от суммы всех заказов;Процент заказанных товаров, которые не отменили и не вернули;—
Кофе растворимый Московская Кофейня на паяхъ Арабика сублимированный, 95 г;615919260;4601985002803;https://www.ozon.ru/product/615919260;Московская кофейня на паяхъ;Продукты питания;Кофе растворимый;Нет;2 041 498 ₽;-24%;4 198;0 ₽;486 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,8;40,0%;52,0%;198 875;41 950;0,92%;12,74%;0,0%;0,0%;0001-01-01
Кофе в зернах Tasty Coffee Руанда Киву, 1 кг;864476435;023ЭС020;https://www.ozon.ru/product/864476435;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;2 034 758 ₽;+14%;895;1 ₽;2 273 ₽;74 315 ₽;27 из 28;74 315 ₽;33;FBO;50 ч;5,0;36,0%;43,0%;111 822;15 360;0,65%;8,52%;14,4%;95,0%;2023-02-15
Voskee coffee Кофе растворимый Сублимированный 900г. 1шт.;1865230889;Расстворимый900;https://www.ozon.ru/product/1865230889;Voskee coffee;Продукты питания;Кофе растворимый;Нет;2 034 566 ₽;+58%;1 457;502 ₽;1 396 ₽;0 ₽;27 из 28;71 774 ₽;51;FBO,FBS;62 ч;3,7;38,0%;47,0%;131 377;34 808;0,38%;8,94%;1,1%;96,2%;2025-02-10
Комбинезон QWIXY Сноубординг малый;1733896442;жен зим комб ASSOL фук 44;https://www.ozon.ru/product/1733896442;QWIXY;Одежда;Комбинезон;Нет;2 027 380 ₽;+4%;230;5 718 ₽;8 815 ₽;0 ₽;21 из 28;71 120 ₽;8;FBO;46 ч;19,2;48,0%;54,0%;45 406;15 676;0,09%;5,58%;0,0%;31,0%;2024-10-20
Брюки джоггеры Modjimoda Брюки мужские утепленные;2090464837;М Брюки спортивные Оверсайз начес /черный-L;https://www.ozon.ru/product/2090464837;Modjimoda;Одежда;Брюки;Нет;2 026 592 ₽;-7%;1 931;73 ₽;1 050 ₽;0 ₽;14 из 28;71 379 ₽;68;FBO;28 ч;8,5;53,0%;64,0%;121 576;45 132;0,12%;9,98%;0,0%;53,0%;2025-04-30
Куртка Modjimoda Куртка мужская;2491457025;М Куртка Зимняя с капюшоном /черный-3XL;https://www.ozon.ru/product/2491457025;Modjimoda;Одежда;Куртка;Нет;2 024 763 ₽;-25%;689;2 165 ₽;2 939 ₽;0 ₽;13 из 28;69 483 ₽;24;FBO;28 ч;39,7;50,0%;68,0%;151 960;30 004;0,03%;6,44%;0,0%;33,6%;2025-07-17
Кофе растворимый FRESCO Arabica Blend, 500 г;783789822;4630007988146;https://www.ozon.ru/product/783789822;Fresco;Продукты питания;Кофе растворимый;Нет;2 023 070 ₽;-47%;1 491;1 ₽;1 357 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;6,4;41,0%;52,0%;222 387;37 036;0,30%;6,58%;6,7%;0,0%;0001-01-01
Кофе капсульный Nescafe Dolce Gusto Flat White, для системы Dolce Gusto, 16 шт;227822951;12396485;https://www.ozon.ru/product/227822951;Nescafe Dolce Gusto;Продукты питания;Кофе в капсулах;Нет;2 006 362 ₽;-3%;2 327;1 ₽;862 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,8;39,0%;49,0%;89 636;21 510;1,39%;9,69%;0,0%;0,0%;0001-01-01
Брюки прямые LAINA женские зимние;190791905;LAINA-15-04-черный-54;https://www.ozon.ru/product/190791905;LAINA;Одежда;Брюки;Нет;2 003 347 ₽;+31%;1 017;814 ₽;1 970 ₽;0 ₽;17 из 28;70 507 ₽;36;FBO;50 ч;10,1;55,0%;67,0%;66 036;27 548;0,09%;12,33%;0,1%;46,2%;2020-08-28
Вьетнамский кофе молотый Trung Nguyen S 500г;1253920918;CA PHE S;https://www.ozon.ru/product/1253920918;Trung Nguyen;Продукты питания;Кофе молотый;Нет;1 989 397 ₽;+16%;3 531;46 ₽;563 ₽;0 ₽;21 из 28;70 276 ₽;125;FBO,FBS;38 ч;1,7;44,0%;58,0%;82 495;31 497;1,27%;13,61%;0,0%;97,2%;2023-10-21
Брюки бананы ТВОЕ;588404720;A9291_черный_XL_0001;https://www.ozon.ru/product/588404720;ТВОЕ;Одежда;Брюки;Нет;1 989 081 ₽;+362%;1 327;0 ₽;1 499 ₽;0 ₽;14 из 28;70 526 ₽;47;FBO;44 ч;7,3;54,0%;64,0%;78 679;30 715;0,19%;9,95%;0,0%;46,8%;2022-05-16
Пуховик DEPLAZA;1645365449;пуховик404чернL;https://www.ozon.ru/product/1645365449;DEPLAZA;Одежда;Пуховик;Нет;1 988 003 ₽;-37%;285;5 239 ₽;6 975 ₽;228 886 ₽;18 из 28;77 102 ₽;11;FBO;54 ч;22,8;41,0%;55,0%;238 515;41 212;0,01%;3,39%;2,0%;32,3%;2024-08-01
Кофе растворимый Carte Noire Elegant, 95 г;225734014;8052233;https://www.ozon.ru/product/225734014;Carte Noire;Продукты питания;Кофе растворимый;Нет;1 978 698 ₽;-50%;3 742;0 ₽;529 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,9;45,0%;60,0%;237 845;48 850;1,02%;9,78%;6,1%;0,0%;0001-01-01
Кофе в зернах 1 кг, Бразильский Шоколад, арабика 100%, Zerno Caffe;1979815980;CAFFE_ZERNO_B16;https://www.ozon.ru/product/1979815980;Zerno Caffe;Продукты питания;Кофе в зернах;Нет;1 978 500 ₽;-16%;1 014;812 ₽;1 951 ₽;656 585 ₽;22 из 28;93 798 ₽;48;FBO;37 ч;3,0;37,0%;45,0%;278 496;28 711;0,17%;9,89%;9,1%;96,9%;2025-03-28
Свитер Оверсайз / с горлом;2917034117;0499-2/СвитерГорлоПодворот/Жен/Бел/Рестор/OneSize;https://www.ozon.ru/product/2917034117;без бренда;Одежда;Свитер;Нет;1 967 057 ₽;-37%;919;1 ₽;2 140 ₽;0 ₽;12 из 28;69 077 ₽;32;FBO;44 ч;5,5;49,0%;57,0%;628 859;69 750;0,05%;5,49%;3,4%;47,8%;2025-09-29
Комплект одежды;1684239888;1010-0021-БЕЖ;https://www.ozon.ru/product/1684239888;без бренда;Одежда;Комплект одежды;Нет;1 964 293 ₽;+2%;661;237 ₽;2 972 ₽;0 ₽;14 из 28;68 429 ₽;23;FBO,FBS;40 ч;1,5;46,0%;52,0%;613 404;183 767;0,03%;3,28%;4,1%;43,1%;2024-09-06
Жилет Columbia;1991680317;1357983217-09yc;https://www.ozon.ru/product/1991680317;без бренда;Одежда;Жилет;Нет;1 961 275 ₽;-18%;3 513;35 ₽;558 ₽;0 ₽;0 из 28;0 ₽;0;FBS;0 ч;17,1;105,0%;147,0%;109 008;204 849;0,11%;9,16%;0,0%;91,2%;2025-04-01
Комбинезон QWIXY Комфорт плюс;1733896262;жен зим комб ASSOL тем сер 42;https://www.ozon.ru/product/1733896262;QWIXY;Одежда;Комбинезон;Нет;1 960 883 ₽;-11%;232;6 558 ₽;8 452 ₽;0 ₽;16 из 28;67 494 ₽;8;FBO;35 ч;19,2;48,0%;55,0%;144 612;22 895;0,03%;3,35%;0,0%;35,3%;2024-10-20
Брюки прямые LENKOST;1169743604;флисовые31;https://www.ozon.ru/product/1169743604;LENKOST;Одежда;Брюки;Нет;1 960 392 ₽;-17%;939;1 545 ₽;2 088 ₽;71 946 ₽;21 из 28;71 867 ₽;34;FBO;54 ч;4,3;49,0%;57,0%;374 186;70 031;0,01%;6,35%;4,7%;47,2%;2023-09-03
Куртка Modjimoda Куртка женская;2491456891;Ж Куртка Длинная зимняя с поясом /черный-48;https://www.ozon.ru/product/2491456891;Modjimoda;Одежда;Куртка;Нет;1 951 355 ₽;-33%;525;1 563 ₽;3 717 ₽;0 ₽;14 из 28;65 388 ₽;18;FBO;30 ч;47,0;51,0%;70,0%;66 713;61 575;0,09%;3,96%;0,0%;36,7%;2025-07-17
Комбинезон QWIXY Живи с умом;1720929753;жен зим комб ASSOL Т-ЗЕЛ 44;https://www.ozon.ru/product/1720929753;QWIXY;Одежда;Комбинезон;Нет;1 949 587 ₽;+13%;232;6 529 ₽;8 403 ₽;0 ₽;18 из 28;65 791 ₽;8;FBO;50 ч;19,2;48,0%;55,0%;68 047;14 255;0,03%;5,34%;0,0%;40,0%;2024-10-10
Кофе в зернах 1 кг 100% Арабика, Итальянская обжарка, BELLO COFFEE ITALY ESPRESSO CREMA, зерновой свежеобжаренный кофе;436385365;BC-CREMA-1000;https://www.ozon.ru/product/436385365;BELLO COFFEE;Продукты питания;Кофе в зернах;Нет;1 942 846 ₽;+30%;1 206;164 ₽;1 611 ₽;0 ₽;10 из 28;65 367 ₽;40;FBO;30 ч;2,9;37,0%;46,0%;88 244;13 784;0,29%;13,07%;3,1%;96,8%;2021-12-20
Пальто by Arhangelskaya Alina Женская коллекция;1773663306;Пальто ворс (весна) шок 46;https://www.ozon.ru/product/1773663306;by Arhangelskaya Alina;Одежда;Пальто;Нет;1 942 047 ₽;+130%;146;10 894 ₽;13 302 ₽;577 354 ₽;25 из 28;82 479 ₽;6;FBO;67 ч;27,3;40,0%;53,0%;56 967;18 537;0,00%;4,14%;0,8%;45,2%;2024-12-02
Брюки джоггеры Modjimoda Брюки мужские утепленные;2090464929;М Брюки спортивные Оверсайз начес /черный-XL;https://www.ozon.ru/product/2090464929;Modjimoda;Одежда;Брюки;Нет;1 939 686 ₽;-6%;1 937;0 ₽;1 001 ₽;0 ₽;18 из 28;68 153 ₽;68;FBO;30 ч;5,7;54,0%;66,0%;412 875;72 004;0,04%;6,36%;0,0%;51,7%;2025-04-30
Кофе в зернах 1 кг Barista Pro Bar, тёмная обжарка. Для кофемашины. Арабика / Робуста.;1304473065;4813785001256_PRO_BAR_1KG;https://www.ozon.ru/product/1304473065;Barista PRO;Продукты питания;Кофе в зернах;Нет;1 938 856 ₽;-10%;1 205;1 ₽;1 609 ₽;0 ₽;19 из 28;68 539 ₽;43;FBO;48 ч;7,4;40,0%;50,0%;167 405;26 828;0,40%;7,90%;10,3%;97,1%;2023-11-22
Пуховик Снежная Королева;2476714913;77237100344;https://www.ozon.ru/product/2476714913;Снежная Королева;Одежда;Пуховик;Нет;1 930 879 ₽;+24%;221;6 710 ₽;8 737 ₽;0 ₽;11 из 28;65 895 ₽;8;FBO,FBS;43 ч;10,8;39,0%;52,0%;108 581;34 587;0,05%;2,81%;0,0%;28,5%;2025-07-15
Кофе растворимый BUSHIDO Light Katana, 100 г;34362298;7610121710325;https://www.ozon.ru/product/34362298;BUSHIDO;Продукты питания;Кофе растворимый;Нет;1 928 869 ₽;-41%;2 054;1 ₽;939 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,9;36,0%;43,0%;170 624;37 625;0,64%;6,47%;4,8%;0,0%;0001-01-01
Кофе в зернах Tasty Coffee Колумбия Богота, 1 кг;715219000;014ЭС020;https://www.ozon.ru/product/715219000;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;1 926 605 ₽;-2%;815;1 ₽;2 364 ₽;0 ₽;26 из 28;68 712 ₽;29;FBO;53 ч;5,1;36,0%;44,0%;44 324;23 294;0,81%;5,22%;2,7%;97,3%;2022-09-16
Кофе растворимый Мексика, премиум, сублимированный, пакет 500 грамм;1623813432;009;https://www.ozon.ru/product/1623813432;ORANGE PRODUKTORIUM;Продукты питания;Кофе растворимый;Нет;1 921 451 ₽;-2%;2 214;0 ₽;868 ₽;0 ₽;8 из 28;68 444 ₽;79;FBO;28 ч;3,9;39,0%;48,0%;92 318;43 739;0,44%;9,46%;0,0%;98,1%;2024-07-08
Комбинезон QWIXY Весь мир моды;1720929297;жен зим комб ASSOL Т-ЗЕЛ 50;https://www.ozon.ru/product/1720929297;QWIXY;Одежда;Комбинезон;Нет;1 919 893 ₽;+10%;230;5 904 ₽;8 347 ₽;68 204 ₽;21 из 28;68 204 ₽;8;FBO;54 ч;19,2;48,0%;55,0%;57 209;15 222;0,03%;5,41%;0,0%;36,0%;2024-10-10
легинсы для похудения SOXY;2864813987;JS5D13;https://www.ozon.ru/product/2864813987;SOXY;Одежда;Легинсы;Нет;1 918 494 ₽;+33%;3 674;1 ₽;522 ₽;0 ₽;12 из 28;67 133 ₽;128;FBO;29 ч;2,4;60,0%;78,0%;101 077;70 971;0,30%;14,58%;1,4%;80,8%;2025-09-17
Брюки прямые LAINA женские зимние;190791903;LAINA-15-04-черный-52;https://www.ozon.ru/product/190791903;LAINA;Одежда;Брюки;Нет;1 916 069 ₽;-7%;1 108;831 ₽;1 729 ₽;69 136 ₽;23 из 28;69 199 ₽;40;FBO;50 ч;16,7;60,0%;75,0%;285 895;43 502;0,02%;7,92%;6,4%;47,7%;2020-08-28
